View Name,URL Pattern,Template
render_panel,render_panel/,N/A
history_sidebar,history_sidebar/,N/A
history_refresh,history_refresh/,N/A
sql_select,sql_select/,N/A
sql_explain,sql_explain/,N/A
sql_profile,sql_profile/,N/A
template_source,template_source/,N/A
index,,N/A
login,login/,N/A
logout,logout/,N/A
password_change,password_change/,N/A
password_change_done,password_change/done/,N/A
autocomplete_view,autocomplete/,N/A
i18n_javascript,jsi18n/,N/A
shortcut,r/<int:content_type_id>/<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
user_change_password,<id>/password/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
RedirectView,<path:object_id>/,N/A
changelist_view,,N/A
add_view,add/,N/A
history_view,<path:object_id>/history/,N/A
delete_view,<path:object_id>/delete/,N/A
change_view,<path:object_id>/change/,N/A
